Country,City,Year,AQI,PM2.5,PM10,Deforestation_Rate_%,Afforestation_Rate_%,Vehicles_Increase_%,Industries_Increase_%,Env_Budget_Million_USD,Population_Density_Per_SqKm,CO2_Emissions_MT,Green_Space_Ratio_%,Avg_Life_Expectancy_Index
poland,warsaw,2021.0,182.27,73.27,160.77,0.95,0.8,8.86,8.31,65.69,9247.69,197.55,32.2,72.98
india,chennai,2022.0,320.59,137.6,225.45,1.72,1.04,23.34,9.74,127.46,22882.57,374.77,18.52,63.88
france,lyon,2016.0,60.23,27.73,43.73,0.61,3.97,6.48,2.6,432.73,4003.92,111.74,47.28,81.85
egypt,aswan,2017.0,258.74,130.67,205.45,3.65,1.05,10.68,8.73,58.46,7774.59,267.54,23.53,67.87
south africa,cape town,2017.0,192.01,130.79,187.05,3.18,1.79,12.49,5.7,307.16,14390.11,213.26,27.79,72.81
argentina,cordoba,2019.0,112.06,70.05,79.46,2.04,0.89,7.4,8.07,360.39,10763.91,209.13,29.87,78.25
australia,perth,2014.0,42.26,17.57,30.97,0.09,4.73,1.98,4.74,715.94,7740.18,90.77,46.38,83.61
morocco,rabat,2020.0,104.55,59.17,99.31,2.75,2.39,9.51,7.3,85.83,1522.45,189.17,42.89,78.2
mongolia,erdenet,2019.0,245.16,151.43,223.98,1.82,0.9,10.27,8.43,44.34,21402.6,257.46,19.49,68.74
sweden,gothenburg,2014.0,51.62,26.5,52.93,0.26,2.92,5.63,4.06,185.495,6749.27,147.2,41.77,83.2
tanzania,arusha,2022.0,86.47,51.21,89.24,3.41,0.99,4.76,2.54,65.98,3490.57,82.37,36.06,79.37
mexico,monterrey,2018.0,144.42,78.08,126.05,1.57,0.9,7.65,8.86,395.15,7736.04,189.47,33.4,76.16
sweden,malmo,2015.0,51.71,22.53,41.11,0.96,1.35,2.86,1.08,603.01,2817.04,50.21,40.28,82.76
argentina,buenos aires,2019.0,95.29,49.1,73.98,2.34,1.48,4.8,9.73,280.25,8391.69,190.32,36.38,79.21
mongolia,choibalsan,2017.0,200.59,133.3,161.08,5.52,1.47,12.85,11.09,40.01,6669.09,272.02,32.22,71.71
nigeria,lagos,2023.0,223.04,96.12,194.93,1.52,1.43,20.97,15.41,41.65,10033.99,370.06,32.74,70.21
ukraine,kyiv,2018.0,190.12,131.92,178.1,3.96,2.78,11.28,6.26,228.9,10825.58,197.78,33.55,72.78
australia,brisbane,2014.0,15.0,6.03,11.28,0.43,3.28,6.0,4.74,185.495,2441.79,130.85,46.96,86.36
uk,liverpool,2016.0,99.94,65.42,94.62,0.35,2.57,5.59,4.12,302.87,7897.67,125.31,39.47,78.94
nigeria,kano,2020.0,279.42,157.5,283.78,3.05,1.21,19.88,5.165,176.69,20145.54,322.08,20.43,66.73
iran,tabriz,2019.0,257.19,119.74,265.71,2.9,0.81,11.14,12.42,37.04,19009.29,276.75,20.53,67.93
uae,sharjah,2018.0,130.28,87.59,104.44,1.11,2.08,4.26,3.23,140.68,14633.48,117.82,30.48,76.6
japan,nagoya,2014.0,78.14,50.17,71.37,0.54,3.58,3.41,3.06,317.06,9890.26,99.92,40.3,80.42
mexico,monterrey,2023.0,85.64,47.64,70.76,1.37,2.32,5.88,8.69,399.01,9795.83,179.1,35.79,80.09
argentina,cordoba,2022.0,125.8,57.69,107.38,3.87,1.97,5.87,5.02,354.28,3169.49,135.99,38.88,77.32
india,mumbai,2016.0,261.31,129.43,231.8,3.21,0.41,12.45,6.94,93.28,21950.82,244.78,16.06,67.77
brazil,fortaleza,2018.0,100.3,56.47,99.23,2.4,0.96,9.21,8.87,368.03,5037.35,189.15,35.44,79.05
brazil,sao paulo,2016.0,100.38,52.89,89.81,1.99,0.68,5.17,4.67,192.08,5247.24,130.05,34.8,78.69
russia,yekaterinburg,2016.0,169.31,115.79,182.07,2.95,0.77,13.71,9.04,273.59,6063.57,235.57,33.28,74.26
bangladesh,sylhet,2021.0,201.8,133.44,189.69,6.0,1.47,11.7,12.18,132.58,13746.54,262.56,24.67,71.81
ukraine,kyiv,2022.0,149.16,82.21,145.09,2.37,1.42,7.13,3.45,296.85,10106.96,151.06,31.79,75.65
sweden,malmo,2016.0,15.0,7.27,14.75,0.63,1.65,3.88,1.51,178.24,3522.37,81.16,40.8,86.27
poland,warsaw,2018.0,139.79,85.31,127.37,2.39,1.76,12.41,5.87,143.61,13397.81,224.53,29.49,75.97
colombia,cartagena,2015.0,135.93,76.55,143.31,0.77,1.67,5.41,9.29,353.07,14364.33,213.36,29.87,76.64
spain,barcelona,2014.0,97.49,64.69,68.69,0.85,4.37,3.96,3.51,502.5,10598.01,118.2,41.66,79.51
india,bangalore,2017.0,259.475,137.6,225.45,4.23,0.32,21.66,15.64,151.48,7774.59,317.67999999999995,23.975,77.3
ethiopia,harar,2023.0,65.34,42.73,55.02,2.28,0.93,5.25,2.19,31.14,2090.07,116.22,38.43,80.71
ukraine,lviv,2020.0,150.04,93.05,153.81,1.32,1.12,10.42,6.97,97.74,14697.22,225.57,27.35,75.19
vietnam,da nang,2014.0,172.06,100.75,140.76,2.3,1.67,8.35,4.26,264.63,14070.24,173.05,28.63,74.06
ghana,tamale,2017.0,137.4,86.67,107.02,0.73,0.85,13.63,8.07,80.93,3835.97,218.81,37.98,76.0
peru,arequipa,2023.0,206.53,128.05,148.71,4.15,0.97,13.77,8.79,174.92,7448.9,252.44,31.32,71.58
ghana,cape coast,2017.0,136.57,65.78,100.27,2.59,2.07,10.22,6.02,296.41,10671.51,200.22,32.93,76.49
usa,los angeles,2019.0,30.95,17.63,29.59,0.41,3.96,1.75,4.07,515.9,10109.84,92.5,41.37,83.97
myanmar,naypyidaw,2020.0,300.36,187.15,238.58,2.41,1.48,18.49,13.84,97.12,24207.72,377.27,14.68,65.17
uk,glasgow,2016.0,48.35,31.45,34.47,0.95,2.1,2.06,2.44,604.56,11729.4,101.21,33.62,82.99
uk,london,2014.0,29.19,18.03,21.67,0.18,1.46,6.07,4.38,185.495,11216.1,164.23,32.99,85.31
italy,palermo,2014.0,24.64,10.99,26.06,1.19,2.6,1.56,2.95,185.495,3514.96,94.56,43.09,85.45
russia,moscow,2018.0,122.33,81.4,131.16,2.55,2.54,8.49,4.12,91.18,1991.03,139.75,43.09,77.03
myanmar,mandalay,2018.0,219.94,133.92,172.35,4.02,0.55,20.18,11.84,133.2,5075.09,302.62,32.55,70.6
iraq,erbil,2016.0,208.43,92.44,184.18,3.06,0.28,12.33,10.02,155.36,17088.61,271.18,20.69,71.42
thailand,khon kaen,2022.0,147.67,68.93,147.89,1.21,2.26,13.5,4.37,356.69,10271.78,203.12,35.3,75.87
iraq,basra,2020.0,310.73,135.22500000000002,246.52,2.32,0.78,20.17,13.43,72.77,7774.59,390.68,22.799999999999997,64.43
australia,melbourne,2023.0,31.31,27.26,55.91,1.04,3.06,1.52,4.35,175.24,11656.56,118.39,36.48,83.63
philippines,quezon city,2017.0,152.9,87.61,159.67,1.92,2.27,11.07,7.74,250.17,11396.51,227.24,33.5,75.31
canada,calgary,2015.0,65.84,40.4,53.57,0.15,1.25,1.28,3.58,800.57,8398.79,99.02,35.19,82.21
philippines,manila,2016.0,123.21,64.17,115.44,3.72,2.13,5.81,8.26,328.17,5315.55,160.08,37.35,77.44
spain,barcelona,2019.0,15.0,6.15,12.07,0.91,4.57,6.29,5.53,512.54,2964.8,112.18,49.85,85.03
myanmar,mawlamyine,2014.0,321.63,143.68,241.36,5.79,0.42,13.88,11.91,103.59,23396.45,319.54,23.134999999999998,63.77
japan,nagoya,2014.0,60.28,40.29,50.7,0.26,4.65,5.6,2.57,185.495,8652.67,103.7,45.02,82.74
turkey,izmir,2017.0,164.07,99.8,177.75,3.11,2.9,12.67,8.33,131.64,4942.05,230.58,40.66,74.33
thailand,khon kaen,2022.0,173.03,100.2,184.85,2.07,0.54,11.47,8.92,394.48,10430.71,246.94,29.12,74.25
bangladesh,dhaka,2016.0,301.1,197.38,297.65,3.79,0.83,16.24,16.2,126.69,16640.38,354.47,22.05,65.18
egypt,giza,2021.0,273.55,133.2,251.12,1.68,0.16,22.04,9.64,134.46,20902.68,345.91,17.91,67.03
egypt,alexandria,2021.0,263.46,110.31,255.95,4.07,0.81,7.63,11.85,157.26,14317.08,378.01,24.04,67.75
ukraine,kyiv,2015.0,127.62,73.5,104.43,1.7,1.87,8.9,7.59,200.38,5474.61,172.81,38.43,76.89
tanzania,dodoma,2021.0,116.36,77.12,114.68,5.34,0.71,7.8,3.51,60.17,3506.36,138.76,33.27,77.36
uk,london,2020.0,18.36,9.17,16.4,0.08,3.71,5.14,4.3,176.62,5109.6,104.93,45.92,85.57
iran,isfahan,2017.0,306.61,136.21,226.67,4.34,0.94,17.35,14.02,111.51,7774.59,373.29,23.4,64.78
argentina,rosario,2017.0,134.66,72.52,103.07,3.48,1.31,10.34,7.84,228.42,2453.54,191.12,37.98,76.48
vietnam,can tho,2022.0,147.51,61.15,125.38,2.14,1.05,5.45,7.03,297.55,13321.91,160.88,27.68,75.76
ethiopia,mekelle,2014.0,70.42,34.71,54.79,4.92,0.22,3.72,2.1,63.72,3802.47,74.95,31.93,80.43
vietnam,hai phong,2016.0,143.37,78.93,134.42,2.59,2.8,7.8,3.69,280.07,12292.99,160.35,33.52,76.0
sweden,gothenburg,2022.0,20.53,10.13,17.45,0.97,1.95,2.42,1.02,550.43,4422.41,68.49,40.46,84.73
kenya,nakuru,2023.0,133.21,92.02,113.55,2.45,0.75,7.81,1.42,77.57,3870.63,111.81,35.92,76.27
indonesia,surabaya,2016.0,80.15,41.83,56.18,2.3,1.6,5.77,6.86,111.35,2112.8,146.07,40.39,79.88
france,toulouse,2018.0,34.92,20.58,37.56,0.61,2.42,1.41,4.77,503.54,5994.36,101.55,40.66,83.68
canada,vancouver,2015.0,56.51,27.53,41.41,0.79,4.47,4.98,2.18,612.4,10900.44,105.38,41.7,82.46
netherlands,rotterdam,2019.0,15.46,8.02,11.63,0.87,4.37,3.38,1.23,672.26,4981.74,61.35,47.26,85.31
uk,manchester,2020.0,28.83,11.66,23.64,0.55,2.57,5.08,1.7,176.62,7089.61,104.15,40.07,77.3
ukraine,lviv,2022.0,163.34,66.1,115.41,4.05,1.43,13.26,8.94,183.14,2259.02,243.26,38.0,74.48
iran,mashhad,2015.0,222.12,94.25,169.61,2.2,0.51,15.72,6.88,66.58,12639.3,237.52,26.7,70.32
ethiopia,gondar,2022.0,52.43,25.34,53.98,2.19,0.41,2.72,1.87,15.01,1909.2,58.92,37.13,81.53
chile,santiago,2020.0,134.04,76.38,103.68,4.21,0.38,4.81,5.83,89.42,2883.3,144.9,34.06,76.24
italy,milan,2021.0,15.0,10.45,11.67,1.19,4.9,4.44,0.65,177.07999999999998,2457.77,64.13,51.06,85.92
myanmar,naypyidaw,2021.0,222.17,153.13,156.88,1.6,0.32,7.63,13.1,55.22,11053.01,253.96,28.32,70.3
poland,gdansk,2015.0,127.42,85.84,107.71,1.78,2.16,10.61,5.68,126.83,9541.27,207.68,35.15,76.76
morocco,marrakech,2021.0,81.76,48.47,77.29,0.8,2.96,13.3,4.58,270.29,813.85,173.76,47.28,80.09
chile,valparaiso,2018.0,120.33,51.76,120.79,3.84,2.88,10.5,3.99,303.84,10738.79,157.69,34.07,77.59
france,paris,2021.0,39.91,27.35,33.2,1.03,3.69,6.83,4.47,177.07999999999998,6004.24,157.24,44.02,84.65
tanzania,mbeya,2023.0,101.07,97.82,140.44,5.13,0.7,4.74,1.7,41.69,2973.92,108.71,33.98,75.29
russia,kazan,2019.0,154.59,93.46,109.41,3.12,2.41,11.08,8.91,366.25,5706.47,222.32,38.4,75.43
saudi arabia,medina,2014.0,151.07,66.15,133.73,4.39,2.98,6.58,7.75,102.22,5743.82,166.86,38.8,75.13
bangladesh,khulna,2014.0,202.32,133.78,213.31,5.77,0.54,18.76,8.72,177.66,7937.54,291.58,27.92,71.87
spain,barcelona,2020.0,77.48,33.37,70.07,0.9,2.07,6.66,3.73,579.28,11787.6,140.17,33.52,80.99
iraq,erbil,2014.0,248.23,112.53,260.45,0.00319,0.78,7.35,10.32,168.92,8318.84,341.89,30.84,68.79
romania,cluj-napoca,2020.0,176.22,72.55,163.86,4.34,0.55,10.06,5.12,352.61,7419.03,173.72,29.9,73.96
indonesia,makassar,2019.0,170.31,69.2,157.07,2.55,1.38,5.83,9.86,364.3,10251.01,215.0,31.35,74.37
china,chengdu,2020.0,298.9,194.21,226.28,3.95,1.24,21.68,5.165,144.45,10111.71,384.25,29.68,65.36
mexico,mexico city,2017.0,88.04,37.9,75.73,3.12,2.9,11.42,4.67,162.66,6629.73,184.99,38.94,79.46
italy,naples,2021.0,15.0,56.63,15.37,0.52,4.4,3.35,1.27,491.67,1986.89,60.71,50.69,84.98
myanmar,bago,2023.0,279.98,192.14,282.89,2.7,0.22,15.93,15.77,81.08,14386.68,336.27,23.59,66.5
france,toulouse,2022.0,15.0,10.25,15.32,0.42,1.89,5.78,1.76,180.34,1042.78,108.81,44.21,85.76
uk,london,2023.0,72.77,47.22,79.82,0.69,4.18,4.45,4.77,451.8,8803.57,115.68,43.05,81.05
canada,vancouver,2016.0,15.0,8.83,13.35,0.69,1.87,3.09,3.56,178.24,2360.91,85.77,42.55,86.27
romania,iasi,2018.0,130.52,29.04,54.67,1.19,2.21,4.21,9.84,114.89,2070.52,167.8,43.38,80.59
canada,ottawa,2017.0,15.0,7.18,13.72,0.61,2.1,5.41,4.63,182.29,1533.35,131.17,44.16,85.64
china,shanghai,2020.0,344.94,156.18,263.04,4.54,0.79,12.39,5.165,74.4,7774.59,368.79,23.36,62.15
usa,new york,2017.0,34.69,23.41,30.88,0.98,4.27,6.25,2.02,182.29,10258.47,125.76,41.57,84.64
argentina,buenos aires,2015.0,207.97,109.51,196.82,4.05,0.9,13.4,9.57,164.74,8273.46,246.16,30.37,71.47
colombia,medellin,2022.0,186.68,90.99,145.74,1.51,2.68,13.41,7.35,80.61,10852.55,233.45,35.68,72.72
iran,mashhad,2017.0,239.47,107.22,173.81,3.47,0.91,13.82,15.06,151.22,19087.51,333.95,20.18,69.34
south africa,johannesburg,2017.0,80.11,40.28,83.16,1.29,2.3,10.33,4.53,284.45,7766.06,171.41,37.85,80.23
pakistan,karachi,2020.0,290.99,163.9,292.74,4.69,0.53,19.22,10.27,59.35,20343.84,336.58,16.56,65.72
nigeria,lagos,2015.0,319.53,184.14,240.82,5.12,0.93,22.11,13.6,31.79,7774.59,397.87,23.37,63.76
colombia,barranquilla,2023.0,173.28,71.85,153.16,3.13,1.17,7.54,8.19,330.15,8439.63,203.58,31.94,74.11
sweden,vasteras,2023.0,102.06,63.5,71.86,0.91,2.14,6.76,0.5,404.01,9428.83,126.87,36.08,79.0
japan,yokohama,2021.0,21.46,10.29,19.93,0.45,1.56,2.08,4.1,509.85,2626.37,81.65,41.62,84.59
iraq,baghdad,2015.0,226.11,132.72,216.76,4.26,0.83,11.34,5.5,75.37,7042.96,316.38,31.2,70.08
spain,barcelona,2016.0,63.89,26.18,65.74,0.68,3.22,3.89,3.46,662.57,10168.34,127.53,38.8,82.07
canada,vancouver,2021.0,46.19,22.83,44.93,1.09,3.47,1.5,2.38,704.43,2800.17,80.95,46.51,83.33
brazil,sao paulo,2016.0,56.12,23.5,49.73,0.63,1.2,6.42,4.62,328.97,6584.67,154.95,36.38,81.92
iran,tabriz,2020.0,250.02,117.31,191.96,1.68,0.63,15.04,14.2,83.18,20990.87,335.96,19.22,68.5
mongolia,ulaanbaatar,2018.0,302.14,135.69,314.6,3.64,1.15,7.65,14.96,90.2,21309.73,319.34,18.49,65.04
bangladesh,chittagong,2022.0,252.35,156.43,253.44,2.57,0.69,23.3,8.95,145.03,20866.88,333.73,18.64,68.47
pakistan,lahore,2017.0,276.44,131.65,279.42,4.5,0.52,15.39,7.92,117.61,7774.59,307.73,23.48,66.81
nigeria,kano,2023.0,272.13,138.18,283.56,3.25,1.04,17.51,12.52,135.92,12535.27,328.03,27.33,67.13
ukraine,lviv,2018.0,26.85,17.47,21.52,1.22,2.8,7.92,3.46,358.54,2116.25,121.34,45.07,83.93
canada,calgary,2015.0,29.73,16.17,25.63,0.7,2.17,3.84,2.79,461.06,5490.31,114.11,40.31,83.94
norway,stavanger,2023.0,15.0,10.2,10.76,0.6,2.47,3.78,4.39,175.24,3708.81,97.26,43.08,86.3
uk,london,2016.0,15.0,8.22,16.31,1.08,3.25,2.75,2.5,178.24,7930.03,86.9,40.75,85.92
uk,london,2022.0,68.7,33.64,48.57,0.67,2.43,4.44,3.72,180.34,7542.24,100.91,39.08,82.82
pakistan,karachi,2015.0,202.03,123.08,225.72500000000002,2.9,0.37,22.5,12.71,110.54,5325.82,340.63,32.89,71.75
poland,poznan,2015.0,151.1,64.47,164.65,1.17,0.77,10.17,7.5,85.56,7774.59,220.73,32.85,75.1
nigeria,lagos,2019.0,251.14,158.9,191.83,2.28,0.97,13.45,7.33,175.41,21052.8,254.49,19.58,68.61
myanmar,mawlamyine,2020.0,319.26,172.54,227.76,4.8,0.18,20.42,7.61,44.55,24104.98,306.7,23.134999999999998,63.81
poland,gdansk,2021.0,101.7,48.47,96.69,3.38,2.66,11.54,0.00916,382.83,2982.21,216.96,41.63,78.99
netherlands,eindhoven,2020.0,55.2,23.84,57.06,2.23,1.32,1.08,1.98,176.62,11698.03,66.68,31.12,83.01
poland,krakow,2022.0,162.4,83.04,174.46,4.09,0.38,9.83,4.1,100.14,6562.94,157.64,30.47,74.37
japan,yokohama,2023.0,50.97,29.87,55.52,0.1,1.74,6.25,1.39,301.36,4877.49,92.92,40.23,82.2
france,paris,2023.0,70.21,30.75,69.98,0.16,1.53,2.04,4.82,452.23,8568.23,124.56,35.85,81.22
norway,trondheim,2015.0,37.18,16.07,33.66,0.92,3.76,5.67,1.77,616.81,2237.63,99.32,48.12,83.75
myanmar,mandalay,2020.0,259.4,140.33,217.53,5.46,0.75,12.29,6.4,58.59,7774.59,245.37,23.134999999999998,67.82
netherlands,eindhoven,2021.0,34.54,15.38,27.18,0.42,2.26,2.14,3.35,468.87,4599.2,87.12,41.75,83.63
pakistan,islamabad,2018.0,267.87,182.29,257.41,5.21,0.44,20.6,13.56,54.33,8941.16,337.08,27.18,67.25
colombia,cartagena,2017.0,115.31,76.05,104.07,1.36,1.41,6.38,4.46,227.02,12189.94,138.72,30.67,77.77
romania,iasi,2023.0,143.3,58.3,139.12,4.06,0.63,5.78,6.91,236.86,2358.9,165.0,35.49,75.92
romania,timisoara,2022.0,116.46,71.24,104.23,4.18,1.2,6.94,7.37,61.37,4719.51,173.35,34.7,77.36
turkey,istanbul,2021.0,178.9,79.92,176.46,3.84,1.48,12.17,5.63,212.61,14512.43,213.48,23.41,73.5
kenya,eldoret,2019.0,149.32,71.12,156.13,5.31,0.54,7.04,4.89,45.01,612.26,126.55,35.69,75.14
australia,sydney,2022.0,70.85,35.35,77.11,0.69,1.79,1.62,4.44,180.34,10862.71,123.47,33.83,82.63
morocco,fez,2016.0,84.44,57.46,79.41,1.55,1.34,11.38,5.16,366.19,3412.47,188.17,39.06,80.1
japan,nagoya,2014.0,53.67,25.94,39.47,0.54,1.42,4.41,2.91,554.11,6841.38,99.94,36.87,82.53
china,shanghai,2015.0,242.49,140.34,262.33,5.3,0.79,19.22,11.74,165.35,13716.21,325.92,23.36,69.16
usa,los angeles,2014.0,15.0,9.48,13.28,0.14,1.74,4.77,3.07,185.495,5567.51,110.25,39.53,86.23
poland,warsaw,2014.0,111.45,69.26,120.09,1.96,1.14,6.55,4.65,203.17,4464.99,128.46,37.0,77.98
australia,adelaide,2019.0,37.25,20.97,35.47,0.48,4.24,1.37,4.08,178.67000000000002,9889.16,93.02,42.36,84.56
turkey,istanbul,2023.0,151.13,62.02,140.15,1.9,2.81,10.45,4.62,307.17,8138.47,195.25,38.38,75.54
uae,al ain,2019.0,58.8,38.95,48.6,1.54,1.82,5.41,9.88,363.66,2689.98,160.8,41.22,81.81
peru,chiclayo,2020.0,95.3,42.29,87.69,3.26,1.45,4.33,8.16,105.82,3838.07,150.8,37.27,78.86
romania,bucharest,2015.0,144.77,87.13,138.82,1.66,2.71,4.75,9.31,385.58,12290.7,188.61,34.17,76.12
egypt,cairo,2019.0,179.96,76.32,130.04,4.07,0.6,20.85,6.24,140.78,7213.43,260.11,30.51,73.28
colombia,cartagena,2023.0,108.62,50.38,118.55,1.23,0.78,7.99,7.21,398.6,10333.8,194.42,30.78,78.56
tanzania,arusha,2018.0,91.11,48.31,69.13,2.66,0.27,4.69,3.49,41.26,1132.78,124.22,37.03,79.01
pakistan,karachi,2019.0,349.62,138.79,225.72500000000002,5.5,0.29,23.86,14.75,129.22,22891.09,318.37,23.48,61.95
norway,stavanger,2016.0,36.65,18.78,28.43,0.14,3.65,5.78,1.91,370.51,11004.46,118.37,39.79,83.3
japan,osaka,2017.0,78.47,47.4,66.53,0.19,3.83,2.5,4.86,550.39,10995.48,130.03,40.3,80.87
brazil,rio de janeiro,2018.0,170.22,104.72,141.29,2.49,1.8,11.7,5.38,206.56,11112.45,185.49,31.8,74.07
poland,poznan,2016.0,161.34,102.29,169.25,3.52,1.07,8.5,3.99,336.3,14123.44,180.59,25.57,74.92
spain,bilbao,2020.0,46.43,31.32,43.59,1.0,1.55,1.21,0.75,660.71,8705.54,64.4,34.95,83.23
france,marseille,2020.0,15.0,10.17,12.47,0.11,4.93,1.09,1.78,511.51,992.11,41.4,53.67,85.02
germany,berlin,2017.0,52.12,34.31,45.4,1.17,1.37,2.95,4.97,182.29,9867.1,114.36,33.08,83.43
iran,tabriz,2016.0,330.35,136.21,283.12,1.55,0.3,11.88,5.43,143.12,7774.59,361.84,23.4,63.26
canada,calgary,2017.0,34.02,18.34,30.32,0.33,3.05,1.84,2.74,322.91,2360.8,88.0,46.45,83.38
germany,cologne,2018.0,94.21,60.28,90.42,0.88,1.37,4.18,3.66,352.26,8997.31,118.14,34.23,79.42
romania,bucharest,2022.0,125.26,81.29,135.24,1.07,0.76,10.74,5.39,305.01,8573.95,195.97,32.63,77.26
nigeria,kano,2023.0,242.07,150.22,181.55,3.34,0.68,14.48,10.92,90.68,18460.32,286.14,20.25,69.04
romania,timisoara,2018.0,144.61,94.8,111.39,1.89,1.57,7.84,3.04,355.26,11934.78,141.99,30.9,76.07
ghana,accra,2018.0,96.69,49.37,100.62,1.46,0.73,8.77,5.36,292.84,5216.94,168.82,35.51,79.14
